,Crude Oil IPMP,inflation_diff,Official Exchange Rate_diff,Informal Exchange Rate_diff,Monetary Supply (M2)_diff,Interest Rate_diff,General IPMP_diff,Agriculture IPMP_diff,Metals IPMP_diff
2014-06-01,598.1,-0.09999999999999987,0.08280000000000065,0.5749999999999993,1.1000000000000014,-1.0899999999999999,-8.100000000000023,-8.700000000000017,-1.3000000000000114
2014-07-01,571.6,0.09999999999999987,0.03509999999999991,0.47499999999999964,1.3999999999999986,-0.6400000000000006,-22.0,-23.0,10.5
2014-08-01,544.9,-0.09999999999999987,0.15579999999999927,0.9749999999999996,1.4000000000000021,-0.5850000000000009,-4.099999999999966,-3.0999999999999943,-2.6000000000000227
2014-09-01,519.8,0.09999999999999987,0.10289999999999999,1.375,0.6999999999999993,-0.48999999999999844,1.099999999999966,3.1999999999999886,-11.199999999999989
2014-10-01,467.1,-0.19999999999999996,0.06099999999999994,0.125,0.0,0.6900000000000013,-36.99999999999997,-35.79999999999998,-5.300000000000011
2014-11-01,419.6,-0.09999999999999987,0.03369999999999962,-1.299999999999999,0.05000000000000071,0.47499999999999787,19.69999999999999,22.5,-6.0
2014-12-01,332.0,-0.10000000000000009,0.03550000000000075,-0.3000000000000007,2.1499999999999986,0.7950000000000017,-5.799999999999983,-2.200000000000017,-4.399999999999977
2015-01-01,260.8,0.10000000000000009,0.05289999999999928,0.5700000000000003,1.6999999999999993,-0.6700000000000017,-17.5,-14.699999999999989,-3.1000000000000227
2015-02-01,310.0,-0.20000000000000007,0.0835000000000008,-0.5250000000000004,2.1000000000000014,0.3500000000000014,-4.5,-6.300000000000011,-5.2999999999999545
2015-03-01,298.3,0.4,0.09309999999999974,-0.3099999999999987,3.099999999999998,0.3200000000000003,-4.0,-3.0999999999999943,-5.900000000000034
2015-04-01,316.9,-0.19999999999999996,0.08670000000000044,-0.13500000000000156,1.3500000000000014,-0.20500000000000185,-5.600000000000023,-6.400000000000006,1.900000000000034
2015-05-01,345.4,-0.10000000000000009,0.08300000000000018,-0.05999999999999872,1.0499999999999972,-0.375,-2.5,-3.6999999999999886,5.0
2015-06-01,332.2,0.0,0.0929000000000002,0.1349999999999998,1.2000000000000028,0.4200000000000017,3.1000000000000227,4.199999999999989,-7.600000000000023
2015-07-01,299.9,0.30000000000000004,0.10089999999999932,1.3899999999999988,-0.10000000000000142,0.005000000000002558,10.099999999999994,12.600000000000023,-12.800000000000011
2015-08-01,252.3,-0.10000000000000009,0.10079999999999956,0.9100000000000001,0.0,0.8299999999999983,-13.0,-11.400000000000006,-6.899999999999977
2015-09-01,252.4,0.0,0.12190000000000012,0.6900000000000013,0.10000000000000142,0.00999999999999801,-10.900000000000006,-11.599999999999994,2.5
2015-10-01,257.7,-0.09999999999999987,0.12439999999999962,0.0649999999999995,-0.3999999999999986,0.22500000000000142,1.0999999999999943,0.799999999999983,2.3999999999999773
2015-11-01,236.6,0.8999999999999999,0.13760000000000083,-0.6400000000000006,0.8500000000000014,1.9899999999999984,-8.599999999999994,-6.699999999999989,-17.0
2015-12-01,201.5,1.9,1.8005999999999993,-0.7400000000000002,1.5499999999999972,1.1849999999999987,-2.5999999999999943,-1.4000000000000057,-4.099999999999994
2016-01-01,166.7,0.19999999999999973,2.2270000000000003,-0.08000000000000007,-5.700000000000003,-0.19499999999999673,-4.200000000000017,-3.5,2.0999999999999943
2016-02-01,177.5,-1.3999999999999995,1.1598000000000006,0.7100000000000009,-3.599999999999998,-0.6700000000000017,1.1000000000000227,-0.9000000000000057,17.100000000000023
2016-03-01,209.3,0.2999999999999998,0.1468999999999987,0.5,-0.5,2.7399999999999984,3.8999999999999773,2.0999999999999943,10.800000000000011
2016-04-01,225.0,0.3999999999999999,-0.5519999999999996,-0.6699999999999999,-1.8999999999999986,0.620000000000001,9.900000000000006,9.600000000000023,0.0999999999999659
2016-05-01,252.0,0.8000000000000003,-0.27179999999999893,-0.25,-2.1999999999999993,0.4499999999999993,18.700000000000017,18.19999999999999,-0.19999999999998863
2016-06-01,258.5,-1.1,0.0030999999999998806,-0.23499999999999943,-2.1000000000000014,-1.3349999999999973,9.699999999999989,9.5,2.0
2016-07-01,241.0,-1.1,0.7685999999999993,0.8199999999999985,-1.0,-2.575000000000003,-14.800000000000011,-15.699999999999989,12.699999999999989
2016-08-01,247.9,-1.8,-0.05959999999999965,0.16999999999999993,-0.8000000000000007,-1.509999999999998,-7.899999999999977,-7.800000000000011,-1.3000000000000114
2016-09-01,246.0,0.9000000000000001,0.2508999999999997,0.045000000000001705,-0.8000000000000007,-1.7750000000000021,-2.4000000000000057,-2.0999999999999943,-3.099999999999966
2016-10-01,264.9,1.2999999999999998,0.08029999999999937,0.11999999999999922,0.20000000000000284,-0.8199999999999967,-0.09999999999999432,0.0,-5.5
2016-11-01,246.7,-0.7999999999999998,0.15890000000000093,0.22000000000000064,1.5499999999999972,-0.8850000000000016,1.5999999999999943,1.5,5.599999999999966
2016-12-01,289.1,-0.40000000000000013,0.48969999999999914,0.8099999999999987,0.75,-1.0549999999999997,1.9000000000000057,1.9000000000000057,-9.099999999999966
2017-01-01,294.0,0.10000000000000009,0.07690000000000019,0.245000000000001,7.0,-0.33500000000000085,3.299999999999983,2.5,8.199999999999989
2017-02-01,296.9,1.2,-0.30819999999999936,-0.4150000000000027,1.9000000000000021,-0.14499999999999957,-0.4000000000000057,-1.4000000000000057,10.899999999999977
