Período;"IPMP
(dic-01=100)";"IPMP
Agropecuario
(dic-01=100)";"IPMP
Metales
(dic-01=100)";"IPMP
Petróleo
(dic-01=100)"
oct-14;228.9;190.4;289.9;467.1
nov-14;248.6;212.9;283.9;419.6
dic-14;242.8;210.7;279.5;332.0
ene-15;225.3;196.0;276.4;260.8
feb-15;220.8;189.7;271.1;310.0
mar-15;216.8;186.6;265.2;298.3
abr-15;211.2;180.2;267.1;316.9
may-15;208.7;176.5;272.1;345.4
jun-15;211.8;180.7;264.5;332.2
jul-15;221.9;193.3;251.7;299.9
ago-15;208.9;181.9;244.8;252.3
sep-15;198.0;170.3;247.3;252.4
oct-15;199.1;171.1;249.7;257.7
nov-15;190.5;164.4;232.7;236.6
dic-15;187.9;163.0;228.6;201.5
ene-16;183.7;159.5;230.7;166.7
feb-16;184.8;158.6;247.8;177.5
mar-16;188.7;160.7;258.6;209.3
abr-16;198.6;170.3;258.7;225.0
may-16;217.3;188.5;258.5;252.0
jun-16;227.0;198.0;260.5;258.5
jul-16;212.2;182.3;273.2;241.0
ago-16;204.3;174.5;271.9;247.9
sep-16;201.9;172.4;268.8;246.0
oct-16;201.8;172.4;263.3;264.9
nov-16;203.4;173.9;268.9;246.7
dic-16;205.3;175.8;259.8;289.1
ene-17;208.6;178.3;268.0;294.0
feb-17;208.2;176.9;278.9;296.9
mar-17;203.3;172.5;278.0;277.5
abr-17;197.7;166.7;280.5;282.9
may-17;200.1;169.8;274.3;272.1
jun-17;198.9;168.8;276.0;251.0
jul-17;204.3;174.0;277.6;259.8
ago-17;199.7;167.8;292.8;275.3
sep-17;202.2;169.3;299.5;294.0
oct-17;203.7;170.9;295.5;307.9
nov-17;203.9;170.7;295.2;334.7
dic-17;204.3;170.9;294.6;343.6
ene-18;210.1;175.0;308.6;368.9
feb-18;215.8;181.2;307.0;349.8
mar-18;221.6;187.6;301.2;355.2
abr-18;224.3;189.2;306.0;382.5
may-18;226.9;191.4;303.7;409.1
jun-18;215.0;179.8;298.8;401.9
jul-18;207.1;173.4;283.6;398.2
ago-18;204.8;171.7;278.1;390.1
sep-18;200.0;166.1;277.7;420.9
oct-18;203.9;169.5;281.5;430.1
nov-18;201.0;168.9;280.0;349.9
dic-18;201.7;171.2;281.9;301.8
ene-19;204.6;173.1;286.6;317.5
feb-19;210.5;177.7;294.0;342.8
mar-19;204.1;170.8;293.5;354.1
abr-19;200.2;166.3;291.9;380.0
may-19;199.9;166.3;288.9;377.9
jun-19;211.5;178.2;300.6;339.2
jul-19;209.3;174.9;312.0;342.2
ago-19;199.5;165.7;314.4;316.3
sep-19;200.7;166.2;315.9;332.4
oct-19;210.0;176.4;312.0;318.0
nov-19;207.2;173.3;308.5;335.2
dic-19;209.6;175.0;311.4;352.1
ene-20;214.2;178.9;324.4;341.5
feb-20;205.5;171.9;323.9;294.9
mar-20;193.5;164.9;320.1;178.2
abr-20;182.5;156.1;326.7;127.3
may-20;182.6;154.0;333.1;165.6
jun-20;188.6;157.4;343.1;213.8
jul-20;194.7;161.8;363.5;228.8
